generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
309,10000,32.66851485148515,52.0,1.0,1.0,1.0,44,50.8185
310,10000,33.06752475247525,52.0,1.0,1.0,1.0,38,51.203
311,10000,34.14,51.0,1.0,1.0,1.0,42,51.572
312,10000,34.56277227722772,55.0,1.0,1.0,1.0,49,51.7779
313,10000,34.1009900990099,52.0,1.0,1.0,1.0,45,51.9332
314,10000,35.107326732673265,52.0,1.0,1.0,1.0,46,51.9367
315,10000,34.18871287128713,51.0,1.0,1.0,1.0,52,52.1905
316,10000,35.70376237623763,52.0,1.0,1.0,1.0,53,52.3436
317,10000,34.396237623762374,52.0,1.0,1.0,1.0,47,52.5287
318,10000,34.30851485148515,55.0,1.0,1.0,1.0,36,52.7441
319,10000,34.69207920792079,53.0,1.0,1.0,1.0,45,52.9316
320,10000,35.634257425742575,56.0,1.0,1.0,1.0,43,52.9658
321,10000,37.25227722772277,60.0,1.0,1.0,1.0,44,53.198
322,10000,36.20158415841584,56.0,1.0,1.0,1.0,51,53.4543
323,10000,36.53049504950495,55.0,1.0,1.0,1.0,54,53.4005
324,10000,35.92415841584158,53.0,1.0,1.0,1.0,47,53.4043
325,10000,36.198019801980195,57.0,1.0,1.0,1.0,51,53.6564
326,10000,36.22792079207921,51.0,1.0,1.0,1.0,61,53.9389
327,10000,36.31683168316832,54.0,1.0,1.0,1.0,55,54.17
328,10000,36.60772277227723,58.0,1.0,1.0,1.0,57,54.1481
329,10000,36.295445544554454,54.0,1.0,1.0,1.0,58,54.1476
330,10000,36.45940594059406,53.0,1.0,1.0,1.0,49,54.4054
331,10000,36.73980198019802,55.0,1.0,1.0,1.0,51,54.697
332,10000,35.495643564356435,59.0,1.0,1.0,1.0,48,54.8054
333,10000,37.01683168316832,52.0,1.0,1.0,1.0,41,55.0391
334,10000,37.44,56.0,1.0,1.0,1.0,43,55.1032
335,10000,35.253267326732676,53.0,1.0,1.0,1.0,42,55.223
336,10000,36.46475247524752,52.0,1.0,1.0,1.0,42,55.4825
337,10000,36.278415841584156,58.0,1.0,1.0,1.0,38,55.7754
338,10000,36.568712871287126,53.0,1.0,1.0,1.0,36,55.7465
339,10000,36.9350495049505,58.0,1.0,1.0,1.0,40,55.9231
340,10000,38.18336633663366,55.0,1.0,1.0,1.0,42,55.883
341,10000,38.08851485148515,57.0,1.0,1.0,1.0,40,55.8835
342,10000,37.068118811881185,53.0,1.0,1.0,1.0,39,56.0848
343,10000,37.89108910891089,57.0,1.0,1.0,1.0,38,56.1239
344,10000,37.35980198019802,58.0,1.0,1.0,1.0,42,56.2769
345,10000,36.39306930693069,63.0,1.0,1.0,1.0,43,56.3982
346,10000,38.593663366336635,59.0,1.0,1.0,1.0,45,56.5392
347,10000,39.45168316831683,60.0,1.0,1.0,1.0,46,56.888
348,10000,37.11722772277228,56.0,1.0,1.0,1.0,46,57.0282
349,10000,37.25663366336634,55.0,1.0,1.0,1.0,56,57.0417
350,10000,38.83405940594059,54.0,1.0,1.0,1.0,51,57.3417
351,10000,37.57782178217822,55.0,1.0,1.0,1.0,53,57.4959
352,10000,38.29643564356436,61.0,1.0,1.0,1.0,47,57.5482
353,10000,36.76970297029703,61.0,1.0,1.0,1.0,63,57.6467
354,10000,38.69920792079208,61.0,1.0,1.0,1.0,66,57.8697
355,10000,39.94732673267327,61.0,1.0,1.0,1.0,70,57.9539
356,10000,38.66990099009901,56.0,1.0,1.0,1.0,78,57.98
357,10000,38.98990099009901,59.0,1.0,1.0,1.0,80,58.2799
358,10000,39.09405940594059,57.0,1.0,1.0,1.0,66,58.4801
359,10000,38.15029702970297,55.0,1.0,1.0,1.0,52,58.7291
360,10000,37.799405940594056,59.0,1.0,1.0,1.0,52,59.0339
361,10000,39.49920792079208,59.0,1.0,1.0,1.0,46,59.2225
362,10000,39.68693069306931,59.0,1.0,1.0,1.0,56,59.2992
363,10000,40.41544554455446,60.0,1.0,1.0,1.0,53,59.6396
364,10000,39.36851485148515,60.0,1.0,1.0,1.0,54,59.8867
365,10000,38.91940594059406,58.0,1.0,1.0,1.0,60,59.9834
366,10000,41.52079207920792,59.0,1.0,1.0,1.0,48,60.2418
367,10000,39.09148514851485,57.0,1.0,1.0,1.0,49,60.5302
368,10000,39.98019801980198,59.0,1.0,1.0,1.0,58,60.5409
369,10000,40.97049504950495,61.0,1.0,1.0,1.0,65,60.7022
370,10000,40.623366336633666,60.0,1.0,1.0,1.0,56,60.8407
371,10000,39.4419801980198,57.0,1.0,1.0,1.0,47,60.8849
372,10000,40.87881188118812,59.0,1.0,1.0,1.0,42,60.9633
373,10000,41.24217821782178,59.0,1.0,1.0,1.0,53,61.1472
374,10000,39.91188118811881,58.0,1.0,1.0,1.0,43,61.2247
375,10000,41.94732673267327,58.0,1.0,1.0,1.0,43,61.3499
376,10000,41.866534653465344,62.0,1.0,1.0,1.0,43,61.5363
377,10000,42.04237623762376,61.0,1.0,1.0,1.0,41,61.9186
378,10000,41.38653465346535,62.0,1.0,1.0,1.0,42,62.3812
379,10000,40.42831683168317,58.0,1.0,1.0,1.0,51,62.4945
380,10000,40.38910891089109,60.0,1.0,1.0,1.0,52,62.5999
381,10000,43.03980198019802,64.0,1.0,1.0,1.0,45,62.6843
382,10000,40.96554455445545,60.0,1.0,1.0,1.0,41,62.7965
383,10000,42.12178217821782,61.0,1.0,1.0,1.0,43,62.7664
384,10000,41.77089108910891,62.0,1.0,1.0,1.0,43,63.0344
385,10000,40.606534653465346,62.0,1.0,1.0,1.0,51,63.242
386,10000,41.90534653465347,64.0,1.0,1.0,1.0,60,63.204
387,10000,43.361584158415845,62.0,1.0,1.0,1.0,50,63.4615
388,10000,42.44930693069307,66.0,1.0,1.0,1.0,59,63.5771
389,10000,41.96138613861386,62.0,1.0,1.0,1.0,63,63.7994
390,10000,42.871089108910894,64.0,1.0,1.0,1.0,61,63.899
391,10000,42.803366336633665,64.0,1.0,1.0,1.0,53,64.1315
392,10000,43.896831683168315,66.0,1.0,1.0,1.0,46,64.1162
393,10000,42.27009900990099,64.0,1.0,1.0,1.0,41,64.4279
394,10000,41.69841584158416,64.0,1.0,1.0,1.0,50,64.5079
395,10000,43.34732673267327,65.0,1.0,1.0,1.0,47,64.7858
396,10000,43.336039603960394,64.0,1.0,1.0,1.0,49,64.9004
397,10000,42.76534653465347,63.0,1.0,1.0,1.0,56,65.217
398,10000,43.555841584158415,61.0,1.0,1.0,1.0,49,65.3755
399,10000,43.493465346534656,63.0,1.0,1.0,1.0,49,65.5744
400,10000,43.07128712871287,64.0,1.0,1.0,1.0,50,65.9122
401,10000,42.24415841584158,65.0,1.0,1.0,1.0,45,66.0826
402,10000,44.097821782178215,63.0,1.0,1.0,1.0,48,66.043
403,10000,44.47049504950495,62.0,1.0,1.0,1.0,47,66.3147
404,10000,42.56079207920792,63.0,1.0,1.0,1.0,50,66.5045
405,10000,42.96019801980198,63.0,1.0,1.0,1.0,45,66.5357
406,10000,46.64970297029703,67.0,1.0,1.0,1.0,47,66.812
407,10000,45.31029702970297,65.0,1.0,1.0,1.0,47,67.0108
408,10000,44.81009900990099,67.0,1.0,1.0,1.0,54,66.9452
409,10000,44.09524752475247,63.0,1.0,1.0,1.0,58,66.7998
410,10000,44.60831683168317,65.0,1.0,1.0,1.0,45,67.2461
411,10000,44.00257425742574,62.0,1.0,1.0,1.0,45,67.6487
412,10000,44.859603960396036,64.0,1.0,1.0,1.0,49,67.6955
413,10000,43.12039603960396,67.0,1.0,1.0,1.0,66,67.8037
414,10000,44.96356435643565,69.0,1.0,1.0,1.0,54,68.0748
415,10000,43.46495049504951,61.0,1.0,1.0,1.0,51,68.3167
416,10000,44.066732673267325,65.0,1.0,1.0,1.0,53,68.5049
417,10000,44.16019801980198,64.0,1.0,1.0,1.0,50,68.7561
418,10000,45.162772277227724,68.0,1.0,1.0,1.0,48,68.9131
419,10000,45.17247524752475,64.0,1.0,1.0,1.0,42,69.2354
420,10000,45.00019801980198,67.0,1.0,1.0,1.0,43,69.2853
421,10000,45.17445544554455,66.0,1.0,1.0,1.0,39,69.4832
422,10000,44.50910891089109,68.0,1.0,1.0,1.0,47,69.528
423,10000,46.05287128712871,64.0,1.0,1.0,1.0,49,69.9252
424,10000,46.446138613861386,68.0,1.0,1.0,1.0,54,70.1148
425,10000,45.43425742574257,63.0,1.0,1.0,1.0,51,70.3238
426,10000,47.67267326732673,68.0,1.0,1.0,1.0,46,70.4849
427,10000,46.55960396039604,67.0,1.0,1.0,1.0,50,70.5434
428,10000,45.50811881188119,66.0,1.0,1.0,1.0,47,70.7271
429,10000,47.296039603960395,70.0,1.0,1.0,1.0,45,70.7176
430,10000,46.463762376237625,66.0,1.0,1.0,1.0,37,70.839
431,10000,45.25841584158416,66.0,1.0,1.0,1.0,33,71.0619
432,10000,46.864356435643565,67.0,1.0,1.0,1.0,40,71.223
433,10000,48.71722772277228,68.0,1.0,1.0,1.0,37,71.4761
434,10000,46.31188118811881,68.0,1.0,1.0,1.0,37,71.7672
435,10000,48.05881188118812,64.0,1.0,1.0,1.0,42,71.737
436,10000,46.55564356435644,70.0,1.0,1.0,1.0,41,71.836
437,10000,46.85742574257426,65.0,1.0,1.0,1.0,46,72.0465
438,10000,47.846732673267326,69.0,1.0,1.0,1.0,37,72.1958
439,10000,47.88178217821782,67.0,1.0,1.0,1.0,47,72.2874
440,10000,48.21306930693069,67.0,1.0,1.0,1.0,45,72.4548
441,10000,47.44376237623762,68.0,1.0,1.0,1.0,44,72.7299
442,10000,48.06158415841584,69.0,1.0,1.0,1.0,41,72.6741
443,10000,47.30910891089109,67.0,1.0,1.0,1.0,50,72.9376
444,10000,49.44653465346535,70.0,1.0,1.0,1.0,53,73.1916
445,10000,48.22990099009901,66.0,1.0,1.0,1.0,51,73.3702
446,10000,48.86277227722772,68.0,1.0,1.0,1.0,40,73.571
447,10000,49.282376237623765,70.0,1.0,1.0,1.0,36,73.619
448,10000,48.76316831683168,68.0,1.0,1.0,1.0,42,73.9463
449,10000,48.0059405940594,71.0,1.0,1.0,1.0,38,74.1546
450,10000,49.83564356435644,70.0,1.0,1.0,1.0,39,74.3757
451,10000,49.54752475247525,69.0,1.0,1.0,1.0,38,74.6119
452,10000,48.568712871287126,70.0,1.0,1.0,1.0,32,74.6739
453,10000,47.65069306930693,68.0,1.0,1.0,1.0,38,74.9119
454,10000,51.11306930693069,69.0,1.0,1.0,1.0,34,75.1335
455,10000,49.40990099009901,72.0,1.0,1.0,1.0,41,75.2631
